h,0.75,0.85,0.95,1.00
0.5555555555555556,"(-0.023938828145375235, 0.021592821901451342)","(-0.02716339355374377, 0.028497101480004148)","(-0.03263195863353585, 0.04339630607142289)","(-0.04751672037139005, 0.09409123564631106)"
0.5656565656565657,"(-0.023813579779770253, 0.021479847881355933)","(-0.02702127420578611, 0.02834800414895792)","(-0.03246122765787908, 0.04316925584257578)","(-0.047268112063193674, 0.09359894866338578)"
0.5757575757575758,"(-0.023689635196014507, 0.0213680498724294)","(-0.026880634259379095, 0.028200458857278017)","(-0.03229227391856458, 0.04294456910937833)","(-0.0470220916610209, 0.09311178617713438)"
0.5858585858585859,"(-0.023566974141800836, 0.02125740960709161)","(-0.026741450734225347, 0.0280544414963469)","(-0.03212506980887554, 0.04272220915844947)","(-0.04677861896561008, 0.09262966858614138)"
0.595959595959596,"(-0.023445576782113946, 0.021147909194159663)","(-0.02660370112352866, 0.027909928454296833)","(-0.03195958829092211, 0.042502140032874815)","(-0.04653765460599161, 0.09215251792915127)"
0.6060606060606061,"(-0.023325423688537798, 0.02103953110920318)","(-0.02646736338186108, 0.0277668966032813)","(-0.03179580288106588, 0.04228432651282303)","(-0.046299160018263924, 0.09168025784304132)"
0.6161616161616162,"(-0.023206495828890075, 0.020932258185194567)","(-0.02633241591340116, 0.027625323287135677)","(-0.03163368763579021, 0.042068734096755295)","(-0.046063097425018705, 0.09121281352207997)"
0.6262626262626263,"(-0.023088774557172186, 0.020826073603443945)","(-0.0261988375605302, 0.027485186309413656)","(-0.03147321713800073, 0.0418553289832066)","(-0.04582942981539246, 0.09075011167842556)"
0.6363636363636365,"(-0.022972241603823575, 0.020720960884808515)","(-0.026066607592773825, 0.027346463921785774)","(-0.03131436648374051, 0.04164407805311877)","(-0.045598120925722026, 0.09029208050382093)"
0.6464646464646465,"(-0.022856879066269722, 0.020616903881166878)","(-0.025935705696076793, 0.027209134812787673)","(-0.031157111269305784, 0.04143494885270591)","(-0.0453691352207831, 0.08983864963244248)"
0.6565656565656566,"(-0.022742669399753442, 0.020513886767148846)","(-0.025806111962399278, 0.027073178096905546)","(-0.031001427578747638, 0.04122790957683337)","(-0.045142437875591114, 0.08938975010486282)"
0.6666666666666667,"(-0.022629595408439805, 0.02041189403211209)","(-0.025677806879623608, 0.026938573303987298)","(-0.03084729197174683, 0.04102292905289273)","(-0.04491799475774513, 0.08894531433308858)"
0.6767676767676768,"(-0.022517640236785, 0.020310910472356867)","(-0.025550771321760517, 0.026805300368967937)","(-0.030694681471848336, 0.040819976725155284)","(-0.044695772410295764, 0.08850527606663608)"
0.686868686868687,"(-0.0224067873611602, 0.02021092118357071)","(-0.025424986539444746, 0.026673339621898513)","(-0.03054357355504348, 0.04061902263958779)","(-0.044475738035119144, 0.08806957035960884)"
0.696969696969697,"(-0.022297020581721585, 0.02011191155349524)","(-0.02530043415070996, 0.026542671778268093)","(-0.030393946138687712, 0.04042003742911446)","(-0.04425785947677959, 0.08763813353874296)"
0.7070707070707072,"(-0.02218832401451821, 0.020013867254807416)","(-0.025177096132033523, 0.026413277929608833)","(-0.03024577757074245, 0.04022299229931006)","(-0.04404210520686431, 0.08721090317238712)"
0.7171717171717172,"(-0.022080682083829545, 0.019916774238208035)","(-0.02505495480964194, 0.02628513953437452)","(-0.030099046619330154, 0.04002785901450946)","(-0.04382844430877403, 0.08678781804038548)"
0.7272727272727273,"(-0.021974079514725027, 0.019820618725710414)","(-0.02493399285106814, 0.026158238409083327)","(-0.0299537324625919, 0.03983460988431954)","(-0.04361684646295426, 0.08636881810483295)"
0.7373737373737375,"(-0.02186850132583804, 0.01972538720412255)","(-0.02481419325695214, 0.02603255671971589)","(-0.02980981467883733, 0.039643217750519905)","(-0.043407281932552215, 0.08595384448167356)"
0.7474747474747475,"(-0.0217639328223473, 0.019631066418716307)","(-0.024695539353076994, 0.025908076973360242)","(-0.02966727323697733, 0.0394536559743395)","(-0.04319972154948542, 0.08554283941311384)"
0.7575757575757577,"(-0.02166035958915854, 0.019537643367077313)","(-0.024578014782632072, 0.025784782010095195)","(-0.029526088487229662, 0.0392658984240964)","(-0.04299413670090786, 0.0851357462408235)"
